Query,Subject,Percentage identity
AlmaEM3_00010,LA-Y3C_00010,100
AlmaEM3_00010,BBI64_22430,100
AlmaEM3_00010,BB08-1_00010,100
AlmaEM3_00010,BB01_14460,100
AlmaEM3_00020,LA-Y3C_00020,100
AlmaEM3_00020,BBI64_22420,100
AlmaEM3_00020,BB08-1_00020,100
AlmaEM3_00020,BB01_14470,100
AlmaEM3_00030,LA-Y3C_00030,100
AlmaEM3_00030,BBI64_22410,100
AlmaEM3_00030,BB01_14480,100
AlmaEM3_00030,BB08-1_00030,99.817
AlmaEM3_00040,LA-Y3C_00040,100
AlmaEM3_00040,BBI64_22400,100
AlmaEM3_00040,BBI64_02650,100
AlmaEM3_00040,BB08-1_00040,100
AlmaEM3_00040,BB01_14490,100
AlmaEM3_00050,LA-Y3C_00050,100
AlmaEM3_00050,BBI64_22390,100
AlmaEM3_00050,BB08-1_00050,100
AlmaEM3_00050,BB01_14500,100
AlmaEM3_00050,BBI64_02710,99.938
AlmaEM3_00050,BBI64_02700,100
AlmaEM3_00060,LA-Y3C_00060,100
AlmaEM3_00060,BBI64_22380,100
AlmaEM3_00060,BB08-1_00060,100
AlmaEM3_00060,BB01_14510,100
AlmaEM3_00060,BBI64_02700,100
AlmaEM3_00070,LA-Y3C_00070,100
AlmaEM3_00070,BBI64_22370,100
AlmaEM3_00070,BB08-1_00070,100
AlmaEM3_00070,BB01_14520,100
AlmaEM3_00080,BBI64_22360,100
AlmaEM3_00080,BB01_14530,100
AlmaEM3_00080,LA-Y3C_00080,99.749
AlmaEM3_00080,BB08-1_00080,99.162
AlmaEM3_00090,BB01_14540,100
AlmaEM3_00090,LA-Y3C_00090,99.111
AlmaEM3_00090,BBI64_22350,99.111
AlmaEM3_00090,BB08-1_00090,97.926
AlmaEM3_00100,BBI64_22340,100
AlmaEM3_00100,BB01_14550,100
AlmaEM3_00100,BB08-1_00100,99.869
AlmaEM3_00100,LA-Y3C_00100,99.216
AlmaEM3_00110,BBI64_22330,100
AlmaEM3_00110,BB08-1_00110,100
AlmaEM3_00110,BB01_14560,100
AlmaEM3_00110,LA-Y3C_00110,98.095
AlmaEM3_00120,LA-Y3C_00120,100
AlmaEM3_00120,BBI64_22320,100
AlmaEM3_00120,BB08-1_00120,100
AlmaEM3_00120,BB01_14570,100
AlmaEM3_00130,BBI64_22310,100
AlmaEM3_00130,BB08-1_00130,100
AlmaEM3_00130,BB01_14580,100
AlmaEM3_00130,LA-Y3C_00130,99.707
AlmaEM3_00140,BBI64_22300,100
AlmaEM3_00140,BB08-1_00140,100
AlmaEM3_00140,BB01_14590,100
AlmaEM3_00140,LA-Y3C_00140,99.263
AlmaEM3_00150,LA-Y3C_00150,100
AlmaEM3_00150,BB08-1_00150,100
AlmaEM3_00150,BB01_14600,100
AlmaEM3_00150,BBI64_22290,99.891
AlmaEM3_00160,LA-Y3C_00160,100
AlmaEM3_00160,BBI64_22280,100
AlmaEM3_00160,BB08-1_00160,100
AlmaEM3_00160,BB01_14610,100
AlmaEM3_00180,LA-Y3C_00180,100
AlmaEM3_00180,BBI64_22250,100
AlmaEM3_00180,BB08-1_00180,100
AlmaEM3_00180,BB01_14630,100
AlmaEM3_00190,LA-Y3C_00190,100
AlmaEM3_00190,BBI64_22240,100
AlmaEM3_00190,BB08-1_00190,100
AlmaEM3_00190,BB01_14640,100
AlmaEM3_00200,LA-Y3C_00200,100
AlmaEM3_00200,BBI64_22230,100
AlmaEM3_00200,BB08-1_00200,100
AlmaEM3_00200,BB01_14650,100
AlmaEM3_00210,LA-Y3C_00210,100
AlmaEM3_00210,BBI64_22220,100
AlmaEM3_00210,BB08-1_00210,100
AlmaEM3_00210,BB01_14660,100
AlmaEM3_00220,LA-Y3C_00220,100
AlmaEM3_00220,BBI64_22210,100
AlmaEM3_00220,BB01_14670,100
AlmaEM3_00220,BB08-1_00220,99.583
AlmaEM3_00230,LA-Y3C_00230,100
AlmaEM3_00230,BBI64_22200,100
AlmaEM3_00230,BB08-1_00230,100
AlmaEM3_00230,BB01_14680,100
AlmaEM3_00240,LA-Y3C_00240,100
AlmaEM3_00240,BBI64_22190,100
AlmaEM3_00240,BB08-1_00240,100
AlmaEM3_00240,BB01_14690,100
AlmaEM3_00270,LA-Y3C_00260,100
AlmaEM3_00270,BBI64_22170,100
AlmaEM3_00270,BB08-1_00260,100
AlmaEM3_00270,BB01_09610,100
AlmaEM3_00280,LA-Y3C_00270,100
AlmaEM3_00280,BBI64_22160,100
AlmaEM3_00280,BB08-1_00270,100
AlmaEM3_00280,BB01_09600,100
AlmaEM3_00290,LA-Y3C_00280,100
AlmaEM3_00290,BBI64_22150,100
AlmaEM3_00290,BB08-1_00280,100
AlmaEM3_00290,BB01_09590,100
AlmaEM3_00300,LA-Y3C_00290,100
AlmaEM3_00300,BBI64_22140,100
AlmaEM3_00300,BB08-1_00290,100
AlmaEM3_00300,BB01_09580,100
AlmaEM3_00310,LA-Y3C_00300,100
AlmaEM3_00310,BBI64_22130,100
AlmaEM3_00310,BB08-1_00300,100
AlmaEM3_00310,BB01_09570,100
AlmaEM3_00320,LA-Y3C_00310,100
AlmaEM3_00320,BBI64_22120,100
AlmaEM3_00320,BB08-1_00310,100
AlmaEM3_00320,BB01_09560,100
AlmaEM3_00330,LA-Y3C_00320,100
AlmaEM3_00330,BBI64_22110,100
AlmaEM3_00330,BB01_09550,100
AlmaEM3_00340,BBI64_22100,100
AlmaEM3_00340,BB01_09540,100
AlmaEM3_00340,BB08-1_00320,99.074
AlmaEM3_00340,LA-Y3C_00330,98.519
AlmaEM3_00350,BB08-1_00330,99.359
AlmaEM3_00350,BB01_09530,99.359
AlmaEM3_00350,BBI64_22090,99.331
AlmaEM3_00350,LA-Y3C_00340,99.275
AlmaEM3_00370,LA-Y3C_00360,100
AlmaEM3_00370,BBI64_22070,100
AlmaEM3_00370,BB08-1_00350,100
AlmaEM3_00370,BB01_09510,100
AlmaEM3_00380,LA-Y3C_00370,100
AlmaEM3_00380,BBI64_22060,100
AlmaEM3_00380,BB08-1_00360,100
AlmaEM3_00380,BB01_09500,100
AlmaEM3_00390,BBI64_22050,100
AlmaEM3_00390,BB01_09490,100
AlmaEM3_00390,LA-Y3C_00380,99.927
AlmaEM3_00390,BB08-1_00370,99.927
AlmaEM3_00400,BBI64_22040,100
AlmaEM3_00400,BB01_09480,100
AlmaEM3_00400,LA-Y3C_00390,99.909
AlmaEM3_00400,BB08-1_00380,99.817
AlmaEM3_00410,LA-Y3C_00400,100
AlmaEM3_00410,BBI64_22030,100
AlmaEM3_00410,BB08-1_00390,100
AlmaEM3_00410,BB01_09470,100
AlmaEM3_00420,BB08-1_00410,97.143
AlmaEM3_00430,LA-Y3C_00410,100
AlmaEM3_00430,BBI64_22020,100
AlmaEM3_00430,BB01_09460,100
AlmaEM3_00430,BB08-1_00420,99.638
AlmaEM3_00440,LA-Y3C_00420,100
AlmaEM3_00440,BBI64_22010,100
AlmaEM3_00440,BB01_09450,100
AlmaEM3_00440,BB08-1_00430,99.872
AlmaEM3_00450,LA-Y3C_00430,100
AlmaEM3_00450,BB01_09440,100
AlmaEM3_00450,BB08-1_00440,99.722
AlmaEM3_00450,BBI64_21990,99.89
AlmaEM3_00460,LA-Y3C_00440,100
AlmaEM3_00460,BBI64_21980,100
AlmaEM3_00460,BB01_09430,100
AlmaEM3_00460,BB08-1_00450,99.862
AlmaEM3_00470,LA-Y3C_00450,100
AlmaEM3_00470,BBI64_21970,100
AlmaEM3_00470,BB08-1_00460,100
AlmaEM3_00470,BB01_09420,100
AlmaEM3_00480,LA-Y3C_00470,100
AlmaEM3_00480,BBI64_21960,100
AlmaEM3_00480,BB08-1_00470,100
AlmaEM3_00480,BB01_09410,100
AlmaEM3_00490,LA-Y3C_00480,100
AlmaEM3_00490,BBI64_21950,100
AlmaEM3_00490,BB08-1_00480,100
AlmaEM3_00490,BB01_09400,100
AlmaEM3_00500,LA-Y3C_00490,100
AlmaEM3_00500,BBI64_21940,100
AlmaEM3_00500,BB08-1_00490,100
AlmaEM3_00500,BB01_09390,100
AlmaEM3_00520,LA-Y3C_00510,100
AlmaEM3_00520,BBI64_21870,100
AlmaEM3_00520,BBI64_21920,100
AlmaEM3_00520,BB08-1_00510,100
AlmaEM3_00520,BB01_09370,100
AlmaEM3_00580,LA-Y3C_01460,100
AlmaEM3_00580,LA-Y3C_00570,100
AlmaEM3_00580,BBI64_21770,100
AlmaEM3_00580,BBI64_29770,100
AlmaEM3_00580,BB01_17250,100
AlmaEM3_00580,BB08-1_00570,99.877
AlmaEM3_00590,LA-Y3C_01470,100
AlmaEM3_00590,BBI64_21760,100
AlmaEM3_00590,BBI64_29760,100
AlmaEM3_00590,BB08-1_01510,100
AlmaEM3_00590,BB08-1_00580,100
AlmaEM3_00590,BB01_17260,100
AlmaEM3_00590,LA-Y3C_00580,99.86
AlmaEM3_00600,LA-Y3C_00590,100
AlmaEM3_00600,BBI64_29750,100
AlmaEM3_00600,BB08-1_00590,100
AlmaEM3_00600,BB01_03600,100
AlmaEM3_00610,LA-Y3C_00600,100
AlmaEM3_00610,BBI64_29740,100
AlmaEM3_00610,BB08-1_00600,100
AlmaEM3_00610,BB01_03610,100
AlmaEM3_00620,LA-Y3C_00610,100
AlmaEM3_00620,BBI64_29730,100
AlmaEM3_00620,BB08-1_00610,100
AlmaEM3_00620,BB01_03620,100
AlmaEM3_00630,LA-Y3C_00620,100
AlmaEM3_00630,BBI64_29720,100
AlmaEM3_00630,BB08-1_00620,100
AlmaEM3_00630,BB01_03630,100
AlmaEM3_00640,LA-Y3C_00630,100
AlmaEM3_00640,BBI64_29710,100
AlmaEM3_00640,BB01_03640,100
AlmaEM3_00640,BB08-1_00630,99.812
AlmaEM3_00650,LA-Y3C_00640,100
AlmaEM3_00650,BBI64_29700,100
AlmaEM3_00650,BB08-1_00640,100
AlmaEM3_00650,BB01_03650,100
AlmaEM3_00660,LA-Y3C_00650,100
AlmaEM3_00660,BBI64_29690,100
AlmaEM3_00660,BB08-1_00650,100
AlmaEM3_00660,BB01_03660,100
AlmaEM3_00660,BBI64_27700,100
AlmaEM3_00670,LA-Y3C_00660,100
AlmaEM3_00670,BBI64_27720,100
